Date,Open,High,Low,Close,Adj Close,Volume
4/1/2004,40.080002,42.849998,39.279999,42,17.977478,35036800
5/1/2004,42,43.669998,41.599998,42.450001,18.170088,20178000
6/1/2004,42.290001,43.330002,40.93,41.459999,17.897295,24275400
7/1/2004,41.119999,41.470001,39.099998,40.950001,17.677139,23136500
8/1/2004,41.150002,41.740002,38.799999,41.139999,17.759155,23601900
9/1/2004,41.049999,43.939999,40.470001,43.73,19.047613,24669800
10/1/2004,43.77,44.25,41.119999,42.400002,18.468296,25625700
11/1/2004,42.700001,45.130001,42.209999,42.540001,18.529276,27907500
12/1/2004,43.169998,47.529999,43.099998,47.389999,20.819193,32424700
1/1/2005,46.950001,47.59,44.169998,44.57,19.580324,30575000
2/1/2005,44.470001,49.450001,44.360001,48.220001,21.183819,25124800
3/1/2005,48.799999,51.919998,45.450001,45.919998,20.360046,45342600
4/1/2005,45.84,50.98,45.009998,50.549999,22.412909,35671000
5/1/2005,50.279999,51.709999,48.799999,49.700001,22.036034,25656500
6/1/2005,49.369999,50.650002,48.299999,48.509998,21.672415,21664200
7/1/2005,48.650002,48.779999,46.200001,47.439999,21.194399,22569000
8/1/2005,47.43,48.740002,47,48.720001,21.766254,23206800
9/1/2005,48.959999,51.349998,48.959999,51.279999,23.077799,20374500
10/1/2005,51.720001,52.75,49.310001,51.990002,23.397327,27893700
11/1/2005,51.970001,53.799999,48.98,49.57,22.308239,32826000
12/1/2005,50.09,52.599998,49.75,50.48,22.87429,23975500
1/1/2006,50.43,53.049999,50.029999,51.240002,23.218683,25239700
2/1/2006,51.470001,52.450001,50.09,50.82,23.028351,25423700
3/1/2006,51.470001,54.98,50.950001,52.310001,23.929455,28971200
4/1/2006,53.130001,57.099998,51.34,56.880001,26.020021,24884600
5/1/2006,56.549999,58.400002,54.330002,55.299999,25.297239,27719500
6/1/2006,54.790001,56.66,53.029999,55.799999,25.70046,26496700
7/1/2006,55.869999,57.189999,53.57,55.330002,25.483999,22391200
8/1/2006,54.630001,57.099998,53.5,56.779999,26.151848,25279400
9/1/2006,56.599998,56.970001,52.889999,53.23,24.699837,24929900
10/1/2006,53.959999,56.869999,52.830002,53.25,24.709114,33582900
11/1/2006,53.150002,54.5,51.18,53.130001,24.653435,32545100
12/1/2006,53.549999,53.740002,51.799999,52.759998,24.690863,20762000
1/1/2007,53.790001,56.110001,52.439999,54.130001,25.331999,32402600
2/1/2007,54.790001,58.740002,54.610001,56.139999,26.272652,38602100
3/1/2007,55.810001,56.380001,53.849998,55.259998,26.110085,33686200
4/1/2007,55.240002,59.98,54.950001,57.779999,27.300789,29863300
5/1/2007,57.779999,58.330002,50.580002,52.18,24.654812,63306600
6/1/2007,51.400002,53.77,50.810001,52.369999,24.953281,61372100
7/1/2007,52.380001,53.689999,48.299999,51.080002,24.338629,54672800
8/1/2007,51.939999,54.080002,48.869999,52.220001,24.881813,58946200
9/1/2007,52.5,54.52,52.34,53.200001,25.596811,25691400
10/1/2007,53.77,54.529999,50.150002,51.25,24.65859,36164400
11/1/2007,51.400002,53.450001,47.490002,52.68,25.613258,38378200
12/1/2007,53.560001,54.169998,50.16,50.389999,24.499855,32681700
1/1/2008,50.450001,54.639999,45.889999,47.380001,23.036379,49799500
2/1/2008,46.68,47.18,40.900002,43.91,21.349247,56822900
3/1/2008,44.59,44.610001,40.509998,42.43,20.927332,40561700
4/1/2008,43.470001,45.419998,42,44.110001,21.755945,35604400
5/1/2008,44.509998,45.73,43.349998,44.529999,22.222746,27109100
6/1/2008,43.959999,45.41,41.279999,44.220001,22.068037,30275100
7/1/2008,43.709999,49.48,43.630001,46.560001,23.235825,55856100
8/1/2008,46.619999,49.299999,45.759998,46.970001,23.702959,22572300
9/1/2008,47.209999,47.560001,41.490002,43.459999,21.931671,41681300
10/1/2008,42.869999,44.02,32.84,38.700001,19.529581,68690200
11/1/2008,38.970001,40.360001,31.02,34.439999,17.59934,32653300
12/1/2008,34.189999,37.900002,31.99,37.27,19.045509,41719000
1/1/2009,36.52,39.59,33.240002,35.259998,18.018373,37374000
2/1/2009,34.34,37.630001,29.790001,30.129999,15.396869,42155400
3/1/2009,29.360001,31.41,27.15,31.07,16.096231,56080300
4/1/2009,30.43,31.93,28.67,30.76,15.935635,65610000
5/1/2009,30.809999,34.119999,30.370001,33.709999,17.700668,53060200
6/1/2009,34.18,36.91,32.68,35.34,18.556555,40341300
7/1/2009,35.599998,39,34.34,38.290001,20.105558,30784500
