outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities,Date,Close
2002,September,2307,34.0,0.0,9/1/2002,38.43
2002,October,1962,66.0,1.0,10/1/2002,37.689999
2002,November,3096,46.0,0.0,11/1/2002,38.0
2002,December,2566,33.0,0.0,12/1/2002,37.459998999999996
2003,January,2014,30.0,10.0,1/1/2003,38.759997999999996
2003,February,1658,43.0,2.0,2/1/2003,35.049999
2003,March,1835,70.0,1.0,3/1/2003,35.189999
2003,April,1711,64.0,0.0,4/1/2003,40.52
2003,May,2504,50.0,2.0,5/1/2003,40.009997999999996
2003,June,2595,50.0,1.0,6/1/2003,40.540001000000004
2003,July,1569,30.0,0.0,7/1/2003,38.310001
2003,August,2643,64.0,3.0,8/1/2003,38.830002
2003,September,1269,66.0,1.0,9/1/2003,42.400002
2003,October,1805,130.0,3.0,10/1/2003,43.290001000000004
2003,November,2362,77.0,1.0,11/1/2003,45.880001
2003,December,1114,13.0,0.0,12/1/2003,46.619999
2004,January,2991,37.0,2.0,1/1/2004,44.0
2004,February,3193,59.0,8.0,2/1/2004,42.619999
2004,March,2749,47.0,0.0,3/1/2004,39.950001
2004,April,2036,53.0,0.0,4/1/2004,42.0
2004,May,1495,40.0,0.0,5/1/2004,42.450001
2004,June,3077,103.0,1.0,6/1/2004,41.459998999999996
2004,July,1607,163.0,2.0,7/1/2004,40.950001
2004,August,1611,34.0,3.0,8/1/2004,41.139998999999996
2004,September,1618,60.0,0.0,9/1/2004,43.73
2004,October,1686,59.0,3.0,10/1/2004,42.400002
2004,November,2668,69.0,3.0,11/1/2004,42.540001000000004
2004,December,4303,55.0,0.0,12/1/2004,47.389998999999996
2005,January,1408,20.0,0.0,1/1/2005,44.57
2005,February,1169,32.0,0.0,2/1/2005,48.220001
2005,March,2156,27.0,0.0,3/1/2005,45.919998
2005,April,2694,73.0,0.0,4/1/2005,50.549999
2005,May,3140,112.0,1.0,5/1/2005,49.700001
2005,June,1366,60.0,1.0,6/1/2005,48.509997999999996
2005,July,1573,81.0,1.0,7/1/2005,47.439999
2005,August,958,43.0,1.0,8/1/2005,48.720001
2005,September,1219,41.0,2.0,9/1/2005,51.279999
2005,October,1215,32.0,0.0,10/1/2005,51.990002000000004
2005,November,1374,29.0,1.0,11/1/2005,49.57
2005,December,1489,42.0,1.0,12/1/2005,50.48
2006,January,2426,74.0,0.0,1/1/2006,51.240002000000004
2006,February,1638,16.0,1.0,2/1/2006,50.82
2006,March,2012,91.0,0.0,3/1/2006,52.310001
2006,April,3765,56.0,0.0,4/1/2006,56.880001
