Date,Open,High,Low,Close,Adj Close,Volume
2000-07-01,60.000000,61.000000,53.750000,57.125000,21.557531,11330500
2000-08-01,58.000000,60.187500,56.187500,57.562500,21.722639,10904600
2000-09-01,56.937500,60.625000,53.687500,60.437500,23.006073,8501000
2000-10-01,60.437500,60.562500,56.125000,58.187500,22.149591,10631500
2000-11-01,57.625000,60.187500,56.500000,57.312500,21.816502,17320200
2000-12-01,56.562500,58.875000,53.437500,56.000000,21.316906,18115800
2001-01-01,56.000000,56.875000,50.937500,52.549999,20.277809,20084800
2001-02-01,53.509998,56.810001,52.660000,55.310001,21.342827,16434700
2001-03-01,56.200001,56.950001,47.150002,52.299999,20.181339,24828400
2001-04-01,51.419998,54.200001,49.799999,53.570000,20.671410,14979800
2001-05-01,52.740002,56.000000,52.250000,54.689999,21.103586,15537600
2001-06-01,54.750000,57.099998,53.740002,56.200001,21.803585,17262000
2001-07-01,56.700001,58.000000,54.709999,57.759998,22.408800,15113500
2001-08-01,57.770000,57.950001,52.470001,52.950001,20.542704,11981800
2001-09-01,52.209999,56.599998,48.400002,56.119999,21.879742,16859900
2001-10-01,55.240002,57.090000,52.599998,53.400002,20.819284,15115200
2001-11-01,54.500000,56.049999,49.900002,50.810001,19.915016,14220900
2001-12-01,50.299999,51.180000,48.680000,49.820000,19.526976,12672600
2002-01-01,49.799999,50.970001,47.020000,48.220001,18.899866,20029700
2002-02-01,47.610001,51.070000,46.900002,48.950001,19.185976,13340100
2002-03-01,48.500000,50.230000,45.709999,47.000000,18.688389,17275200
2002-04-01,47.000000,49.980000,45.500000,48.049999,19.105892,21864300
2002-05-01,48.000000,48.480000,40.480000,40.750000,16.203232,23849000
2002-06-01,40.740002,43.310001,38.299999,43.139999,17.354006,25411900
2002-07-01,43.000000,43.090000,31.350000,39.500000,15.889735,30031900
2002-08-01,38.759998,42.090000,37.290001,37.889999,15.362875,24658800
2002-09-01,36.599998,39.990002,34.799999,38.430000,15.581833,20296700
2002-10-01,39.400002,43.150002,37.400002,37.689999,15.281788,24585600
2002-11-01,37.689999,40.490002,37.150002,38.000000,15.531734,15948300
2002-12-01,38.009998,38.230000,35.639999,37.459999,15.311028,19994700
2003-01-01,37.570000,40.130001,34.049999,38.759998,15.842366,30783300
2003-02-01,38.340000,38.790001,33.880001,35.049999,14.325986,16202300
2003-03-01,35.959999,37.910000,31.850000,35.189999,14.563405,21511500
2003-04-01,35.560001,40.750000,35.400002,40.520000,16.769226,18744300
2003-05-01,40.900002,43.869999,39.750000,40.009998,16.558165,17473300
2003-06-01,39.830002,43.590000,39.709999,40.540001,16.901382,17022800
2003-07-01,40.200001,41.490002,36.910000,38.310001,15.971681,23844900
2003-08-01,38.000000,40.200001,37.150002,38.830002,16.306751,16212600
2003-09-01,38.799999,43.220001,38.610001,42.400002,17.805975,21232500
2003-10-01,42.189999,44.119999,42.090000,43.290001,18.179745,18363600
2003-11-01,43.700001,47.639999,42.730000,45.880001,19.399935,19027600
